BERDO ID,Tax Parcel ID,Property Owner Name,Building Address ,Building Address City,Building Address Zip Code,Parcel Address ,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),"Renewable System Electricity Usage Onsite (kBtu)
",District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA) ,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,
100316,0802195020,adams orchard lps mass lps,25 ambrose st,boston,02119,25 ambrose st,boston,02119,64000,,Multifamily Housing,Multifamily Housing,46.3,68,2966183.6,2140029.2,826154.4,,,,,,,,,,,,36.4,in compliance,7 - berdo accepted,No,No,No,Maybe,No,No,,,
106260,0105402010,trinity east boston two lp mass lps,113 sumner st,boston,02128,115  123 sumner st,boston,02128,98784,,Multifamily Housing,,57,94,5631662.9,4251710.2,1379952.7,,,,,,,,,,,,44.43,in compliance,7 - berdo accepted,No,No,No,Maybe,No,No,,,
101319,0504178000,boylston i holding llc,1163 boylston st,boston,02215,1163 boylston st,boston,02215,20100,,Multifamily Housing,Multifamily Housing,80.6,96,1620373.2,1461234.1,159139.1,,,,,,,,,,,,23.52,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100533,2102155000,bancroft realty lp mass lp,119-127 sutherland,boston,02135,119  127 sutherland rd,boston,02135,47124,,Multifamily Housing,Multifamily Housing,51.4,97,2421664.4,2163990.2,257674.2,,,,,,,,,,,,18.08,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
102438,2102304000,commonwealth properties,66-70 chiswick,boston,02135,66  70 chiswick rd,boston,02135,40484,,Multifamily Housing,Multifamily Housing,71,89,2873372.4,2688216.8,185155.6,,,,,,,,,,,,32.88,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
106605,2101463000,walbridge brainerd assocs mass llc,99 brainerd road,boston,02134,25 walbridge st,boston,02134,8300,,Multifamily Housing,Multifamily Housing,126.1,60,1046685.4,927726,118959.4,,,,,,,,,,,,35.21,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
104998,2100029000,park 231-235 assoc llc,231 park drive,boston,02215,231  235 park dr,boston,02215,58002,,Multifamily Housing,Multifamily Housing,73.7,88,4276573.9,3652017.6,624556.4,,,,,,,,,,,,37.16,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
106643,1806017110,washington beech,4560-4578 washington st,boston,02131,4560 washington st,boston,02131,97900,,Multifamily Housing,,33.8,99,3311515.7,2012352.4,1299163.4,,,,,,,,,,,,37.42,in compliance,7 - berdo accepted,No,No,No,Maybe,No,No,,,
103092,0101662000,four40 mcclellan llc,440 william f mcclellan highway,boston,02128,440 wm f mcclellan hw,boston,02128,120091,,Food Service,,70.1,,8415200.1,4128499.7,4286700.3,,,,,,,,,,,,23.89,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
104207,0304838000,mason place co lps,70-80 mason st,boston,02111,19 avery st,boston,02111,134915,,Multifamily Housing,"College/University, Multifamily Housing",72.6,67,9800026.2,7602687.9,2197338.2,,,,,,,,,,,,41.48,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105899,0402385000,st botolph st associates lps,144-150 saint botolph st,boston,02115,2 blackwood st,boston,02115,60430,,Multifamily Housing,Multifamily Housing,43.3,91,2616471.2,1961393.6,655077.7,,,,,,,,,,,,25.64,in compliance,7 - berdo accepted,No,No,No,No,No,No,4455533,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
105897,0402366000,st botolph st assoc mass lp,4-24 albemarle st,boston,02115,4  24 albemarle st,boston,02115,23200,,Multifamily Housing,Multifamily Housing,105.8,28,2454483.2,1874663.3,579819.9,,,,,,,,,,,,54.61,in compliance,7 - berdo accepted,No,No,No,No,No,No,4455533,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
105898,0402378000,st botolph st assoc mass lp,7-11 blackwood st,boston,02115,11  7 blackwood st,boston,02115,18374,,Multifamily Housing,Multifamily Housing,140.1,25,2573771.3,1991626.9,582144.5,,,,,,,,,,,,98.72,in compliance,7 - berdo accepted,No,No,No,No,No,No,4455533,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
106032,0402295000,symphony plaza leasehold,334 massachusetts ave,boston,02115,334 massachusetts av,boston,02115,154105,,Multifamily Housing,"Multifamily Housing, Office, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store",66.3,76,10219222.3,6934026,3285196.4,,,,,,,,,,,,49.28,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
106031,0402277000,symphony plaza leasehold,333 massachusetts ave,boston,02115,333 massachusetts av,boston,02115,174779,,Multifamily Housing,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store",64.5,69,11267525.3,6633179.5,4634345.6,,,,,,,,,,,,44.04,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100002,0304794000,10 temple place lp,2-24 temple pl,boston,02111,24  2 temple pl,boston,02111,135344,,Multifamily Housing,"Medical Office, Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Supermarket/Grocery Store",62.4,76,8445434.9,5694895.3,2750539.4,,,,,,,,,,,,39.43,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103034,0602654010,fort point channel investors llc,26 thomson place,boston,02210,12  56 thompson pl,boston,02210,33942,,Office,Office,49.6,,1682977.4,,1271461.3,,,,,,411516,,,,,,2.28,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103035,0602654010,fort point channel investors llc,30-36 thomson pl,boston,02210,12  56 thompson pl,boston,02210,73363,,Office,Office,51,46,3743586.1,1574100,2169486.1,,,,,,,,,,,,2.77,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103036,0602654010,fort point channel investors llc,44 thomson pl,boston,02210,12  56 thompson pl,boston,02210,32384,,Supermarket/Grocery Store,"Office, Supermarket/Grocery Store",125.8,,4074003.9,1887599.9,2186403.8,,,,,,,,,,,,8.1,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
102858,1602405010,ess storage acquisition,41 norwood st,boston,02122,41 norwood st,boston,02122,70076,,Self-Storage Facility,Self-Storage Facility,22.2,,1557873.3,532200,1025673.1,0,,,,,,,,,,,0.06,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100614,2005737000,belgrade place llc mass llc,446 belgrade ave,boston,02132,446 belgrade av,boston,02132,56129,21858,Multifamily Housing,"Multifamily Housing, Parking",34.5,94,1937342.5,560000,1377342.5,,,,,,,,,,,,21,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105658,0602147000,senior citizens housing,120 h st,boston,02127,120 h st,boston,02127,40800,,Multifamily Housing,Multifamily Housing,63.7,47,2597974.7,1627100,970874.7,,,,,,,,,,,,37.19,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103161,2101986000,gauthier arthur trsts,41-67 colborne rd,boston,02135,41  67 colborne rd,boston,02215,104120,,Multifamily Housing,,35.4,98,3686677.3,22700,1161526.7,,,,,,,,,,,,32.16,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
101744,2102333000,chestnut hill park condo tr,324-326 chestnut hill ave,boston,02135,324  326 chestnut hill av,boston,02135,89071,,Multifamily Housing,,84.4,78,7520542.4,137300,949365.1,,,,,,6433877.4,,,,,,16.72,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
104671,0500135002,nkotb owner llc,200 stuart street,boston,02116,200 stuart st,boston,02116,312000,0,Hotel,,71.8,84,22397881.7,1623768.8,14376547.3,,,,6397567.2,,,,,,,,22.07,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
103302,1812141000,geraghty thomas j jr,1608 river street,boston,02136,1600  1608 river st,boston,02136,66954,,Multifamily Housing,Multifamily Housing,48,89,3211811.4,2454599.9,757211.5,,,,,,,,,,,,35.75,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
103299,1811022000,geraghty margaret a,605 truman highway,boston,02136,605 truman hw,boston,02136,66410,,Multifamily Housing,Multifamily Housing,65.3,65,4336278.2,,809882.6,,,,,,3526395.7,,,,,,58.36,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
103300,0900190000,geraghty susan a ts,1511 - 1525 washington street,boston,02118,1511  1525 washington st,boston,02118,50290,,Multifamily Housing,"Fitness Center/Health Club/Gym,K-12 School,Multifamily Housing,Other",106.8,13,5371294.3,98400,995058.6,,,,,,4277835.7,,,,,,26.5,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
107185,1203486002,city of boston,7-8-maintenance shed,boston,02124,morton st,boston,02124,3651,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,7.1,,25823,,25823,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22121298,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
107186,1203486002,city of boston,5-ranger office,boston,02124,morton st,boston,02124,1351,,Office,,130.3,1,176002.9,,176002.9,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22121298,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
107187,1203486002,city of boston,9-ranger stables,boston,02124,morton st,boston,02124,4095,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,22,,90158.7,,90158.7,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22121298,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
107188,1203486002,city of boston,1-2-admin building,boston,02124,morton st,boston,02124,19826,,Office,,53.5,,1060916.4,,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22121298,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
106971,2000676000,city of boston,64 bellevue hill rd,boston,02132,w roxbury pw,boston,02132,10200,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)","Repair Services (Vehicle, Shoe, Locksmith, etc)",18.5,,188557.1,,188557.2,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100618,0401037600,belvidere condominium trust,100 belvidere st,boston,02116,100 belvidere st,boston,02116,165000,,Multifamily Housing,Multifamily Housing,31,85,5121852.4,276917.6,4844934.2,,,,,,,,,,,,0.01,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
104407,0303636000,mercantile wharf associates,111 atlantic avenue,boston,02110,71  87 commercial st,boston,02109,159005,,Multifamily Housing,,74.4,34,11831002.7,8484739.1,3346263.7,,,,,,,,,,,,42.3,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
107147,0504322010,boylston west llc,1335 boylston st,boston,02215,1325 1345 boylston st,boston,02115,522748,0,Parking,,,,,,27951837.6,,,,,,,,,,,,32.98,in compliance,7 - berdo accepted,No,No,No,Yes,Yes,Yes,,,
101190,0801243000,boston medical center corporation,720 harrison avenue,boston,02118,720 harrison av,boston,02118,97289,0,Parking,"Medical Office, Parking",129,,12552846.7,,4511619.4,,,,8041227.6,,,,,,,,0.52,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
104405,0801188050,mept/lmp gambro building llc,660 harrison avenue,boston,02118,660 harrison av,boston,02118,34606,,Medical Office,Medical Office,161.7,13,5594296.1,,2554946.2,,,,3039349.8,,,,,,,,96.84,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100702,0202360000,bmirf gatehouse llc,75 w school st,boston,02129,75 w school st,boston,02129,117921,15848,Multifamily Housing,"Multifamily Housing, Parking",47.8,86,5638780.8,2669300,2969480.7,,,,,,,,,,,,25.05,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
102654,0304029000,diamond rock boston broad st,89 broad st,boston,02110,54  66 batterymarch st,boston,02110,338757,,Hotel,"College/University, Hotel, Restaurant",119.6,44,40525202.4,4722292.1,10576353.8,,,,25226555.9,,,,,,,,49.44,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
106822,2202645000,boston rehab assoc gp,181 parsons st,boston,02135,181 parsons st,boston,02135,14432,,Multifamily Housing,,74.6,,1075934.9,,221251.1,,,,,,854683.7,,,,,,61.86,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101221,2101103000,boston rehabilitation,1391 commonwealth ave,boston,02134,1391 commonwealth av,boston,02134,50136,,Multifamily Housing,,53.8,98,2697788.3,,551891,,,,,,2145897.3,,,,,,41.82,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101219,0401720000,boston rehabilitation,66 fenway,boston,02115,66 fenway st,boston,02115,31296,,Multifamily Housing,,61.2,89,1914613.8,1484879.2,429734.6,,,,,,,,,,,,34.52,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101223,2101547000,boston rehabilitation,15 royce rd,boston,02134,15 royce rd,boston,02134,29598,,Multifamily Housing,,55.9,93,1653403,1283228.3,370174.7,,,,,,,,,,,,52.84,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101220,2100587000,boston rehabilitation,0,boston,02134,98 chester st,boston,02134,43716,,Multifamily Housing,,30,99,1310383,1023539.6,286843.4,,,,,,,,,,,,19.02,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
106100,0301927600,the general hospital corp,125 nashua street,boston,02114,125 nashua st,boston,02114,193585,,Office,Office,92.6,56,17928241.9,,8038102.2,,,,9890141,,,,,,,,5.84,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
100257,0304576000,99 summer owner ii  llc,99 summer street,boston,02110,99 summer st,boston,02110,291332,40000,Office,"Office, Parking",75.3,38,21939751.7,2614435.6,19325315.5,,,,,,,,,,,,8.16,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100028,0602643040,121 seaport boulevard condominiium trust,121 seaport boulevard,boston,02210,113  129 seaport bl,boston,02210,486562,130276,Office,,50.2,85,24421854.5,8423866.1,15997987.7,,,,,,,,,,,,5.52,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
100671,0304323000,bird farm south llc mass llc,129 south street,boston,02111,127  133 south st,boston,02111,47470,,Office,Office,18.6,96,881121.9,,881019.3,,,,,,,,,,,,1.3,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
102815,0304909000,emerson college,216 218 tremont street,boston,02111,216  218 tremont st,boston,02116,45388,,College/University,College/University,64.6,,2933012.8,,1389740.7,,,,1543272.1,,,,,,,,4.61,in compliance,7 - berdo accepted,Yes,No,Yes,No,No,No,22012100,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
106445,0304810010,union investment real estate,505 washington st,boston,02111,505 washington st,boston,02111,135695,,Hotel,Hotel,112,28,15201184.2,6897741.1,8303443.2,,,,,,,,,,,,50.44,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
103336,0401484000,gp-huntington limited ptnr,261-289 huntington ave,boston,02115,263  279 huntington av,boston,02115,87751,,Office,"Office, Restaurant, Retail Store",105.9,50,9296200.5,4513075,4783125.8,,,,,,,,,,,,25.92,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
104426,0802130000,miller sydney ts,850 albany st,boston,02119,albany st,boston,02119,35470,,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,58.6,,2077501.2,1563377.9,514123.2,,,,,,,,,,,,4.84,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
105601,1602582000,sammartino joseph a sr ts,820 william t. morrissey blvd,boston,02122,820 wm t morrissey bl,boston,02125,45096,0,Other - Entertainment/Public Assembly,"Other - Entertainment/Public Assembly, Parking",114,,5143052.1,2728438.6,2414613.4,,,,,,,,,,,,9.16,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
100451,0304325000,asian healthcare foundation,145 south street,boston,02111,143  157 south st,boston,02111,50305,,Office,Office,42.9,95,2158491.7,624900.1,1533591.6,,,,,,,,,,,,8.2,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105194,2200534000,president and fellows of,175 north harvard street,boston,02134,141 n harvard st,boston,02134,39709,39709,Parking,Parking,83.5,,3317543.2,2281243.2,1036300.1,,,,,,,,,,,,13.79,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105186,2200181000,president and fellows of,90-92 seattle street,boston,02134,90  92 seattle st,boston,02134,36572,,Retail Store,Retail Store,39.7,99,1450171.9,1321214,128957.9,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105187,2200254000,president and fellows of,28 travis st,boston,02134,28 travis st,boston,02134,43190,,Office,Office,74.2,45,3205107.6,1354676,1850431.7,,,,,,,,,,,,6.7,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105173,2005207000,pres & fellows of harv,1300 centre street,boston,02131,1300 centre st,boston,02131,45000,,College/University,College/University,128.3,,5772520.7,0,5772520.5,,,,,,,,,,,,0.31,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100624,1601072000,bentley st joseph real  estate llc,321 centre st,boston,02122,321 centre st,boston,02122,46952,,Senior Living Community,Senior Living Community,134.5,53,6317012.5,4190612.2,2126400.4,,,,,,,,,,,,76.82,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
106444,0304684000,union club of boston inc,7-8 park st,boston,02108,8  7 park st,boston,02108,37470,,Social/Meeting Hall,Social/Meeting Hall,62.5,,2343309.1,342514.2,763213.9,,,,1237581.1,,,,,,,,16.64,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103958,0302859000,jppf 18 tremont llc,#N/A,boston,02108,18  32 tremont st,boston,02108,210669,,Office,Office,53.9,80,11353831,1015010.9,4514447.9,,,,5824373.4,,,,,,,,3.34,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
105115,0304398000,pmh realties llc,207-211 congress st,boston,02110,217  209 congress st,boston,02110,82601,,Office,Office,55.9,81,4616170,2986547.7,1629622.4,,,,,,,,,,,,5.36,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
102696,0304761000,downtown development,32-38 bromfield st,boston,02108,38  32 bromfield st,boston,02108,42364,,Office,Office,63.8,75,2704079,79245.2,341831.6,,,,2283002.4,,,,,,,,1.12,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
106760,0303877000,winhall liberty llc,87 kilby street,boston,02109,87 kilby st,boston,02109,65343,,Office,Office,46.2,62,3018528.4,,3018528.5,,,,,,,,,,,,2.67,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103301,1807892000,geraghty susan a ts,130 bradlee street,boston,02136,130 bradlee st,boston,02136,23178,,Senior Living Community,Senior Living Community,47,100,1088741.1,698954.2,389786.9,,,,,,,,,,,,15.07,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
105376,1301049000,roman cath arch boston church,24 hartford street,boston,02125,magnolia st,boston,02125,39992,,Worship Facility,,43.9,,1753904.3,1583380.7,170523.6,,,,,,,,,,,,10.8,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
106417,0500020000,two park plaza llc mass llc,2 park plaza,boston,02116,2 park pz,boston,02116,44800,,Office,Office,40.1,93,1796567.2,1169665.9,626901.4,,,,,,,,,,,,10.23,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101433,2100622000,brighton commons llc,61-67 brighton ave,boston,02134,61  67 brighton av,boston,02134,52000,,Multifamily Housing,Multifamily Housing,2.1,100,107351.9,41200,66151.9,,,,,,,,,,,,30.41,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
103826,1812975000,hurley/readville realty llc mass llc,sprague street,boston,02136,sprague st,boston,02136,41250,,Distribution Center,Distribution Center,3.3,86,136620.6,,136620.6,,,,,,,,,,,,0.72,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
105626,0600368000,sb gateway ii llc,60 old colony ave,boston,02127,60  58 old colony av,boston,02127,44449,,Food Service,"Food Service, Medical Office, Non-Refrigerated Warehouse, Other, Retail Store",229.4,,10196190.9,2830300.1,7365890.4,,,,,,,,,,,,22.45,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101651,0303005000,cap long wharf llc,66 long wharf,boston,02110,70 long wh,boston,02110,70000,,Office,Office,12.7,,888966.4,497701.1,391265.3,,,,,,,,,,,,10.12,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
102921,0401395000,fenway inc,38 hemenway st,boston,02115,38 hemenway st,boston,02115,35100,,Multifamily Housing,Multifamily Housing,86.9,83,3048952.5,2677860,371092.5,,,,,,,,,,,,44.79,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100739,0306175000,boston chinese evangelical church,120 shawmut ave,boston,02118,120 shawmut av,boston,02118,36446,0,Worship Facility,"Parking, Worship Facility",67.1,33,2446442.6,1882300.3,564142.1,,,,,,,,,,,,1.6,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
102917,0504205000,fenway enterprises,1249 boylston st,boston,02215,1249 boylston st,boston,02215,40976,,Office,"Office, Other, Retail Store",75.3,,3084493.3,905829.1,2178664.4,,,,,,,,,,,,1.98,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
102918,0504206000,fenway enterprises,1255-1261 boylston st,boston,02215,1255  1261 boylston st,boston,02215,38160,,Retail Store,"Office, Other, Retail Store",53.4,55,2035947.3,127819.4,1908127.9,,,,,,,,,,,,28,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
100036,0504328000,126 brookline avenue llc,122 130 brooklin av,boston,02215,122  130 brookline av,boston,02215,71844,,Retail Store,"Office, Other, Restaurant, Retail Store",154.5,,11099610.3,5411799.9,5687810.8,,,,,,,,,,,,38.96,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
105996,0302782000,suffolk university,20 somerset st,boston,02114,20 somerset st,boston,02114,103599,,College/University,College/University,183.2,,18976187.9,10990741.8,7985444.8,,,,,,,,,,,,87.24,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
106373,0602751100,twenty-5 channel ctr condo,25 channel center st,boston,02210,25 channel center st,boston,02210,131888,,Multifamily Housing,Multifamily Housing,43.8,77,5775033.3,2020772.2,3754261.1,,,,,,,,,,,,19.36,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
105995,0300087000,suffolk university,148 cambridge st,boston,02114,144  154 cambridge st,boston,02114,32863,,College/University,College/University,102.4,,3363638.9,1593183.8,1770455.1,,,,,,,,,,,,14.38,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
103469,0302970000,harbor towers ii condo tr,65 e india row,boston,02110,65 e india ro,boston,02110,406928,,Multifamily Housing,Multifamily Housing,17.1,,6974073.3,1146534.3,5827539,,,,,,,,,,,,23.76,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,21399092,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
103468,0302975000,harbor towers 1 condo tr,85 e india row,boston,02110,85 e india ro,boston,02110,406928,,Multifamily Housing,Multifamily Housing,20.9,,8491163.4,557419.9,7933742.8,,,,,,,,,,,,17.43,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,21399092,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
101366,0100534000,brandywyne village co,88 brandywyne drive,boston,02128,870 908a saratoga st,boston,02128,385660,,Multifamily Housing,Multifamily Housing,71.9,75,27733588.9,22487675.4,5245912.5,,,,,,,,,,,,47.57,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100727,0503062000,boston architectural college,320 newbury st,boston,02115,320 newbury st,boston,02115,49494,,Office,,77.2,81,3818653.1,,1722997.9,,,,2095655.2,,,,,,,,14.58,in compliance,7 - berdo accepted,I'm not sure,Yes,No,No,No,No,,,
105302,0302854000,retals llc,2-16 tremont st,boston,02108,2  16 tremont st,boston,02108,38000,,Office,Office,55.1,83,2095464.8,62641.7,767283.7,,,,,1265539.4,,,,,,,5.55,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
103053,0304593000,forty summer street realty trust,40 summer street,boston,02110,40  46 summer st,boston,02110,40398,,Office,,37.8,85,1527260.1,391883,1135377.1,,,,,,,,,,,,2.33,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100768,0703584000,boston edison company,1165 massachusetts avenue,boston,02125,1165 massachusetts av,boston,02125,39586,0,Non-Refrigerated Warehouse,,19.9,44,788581.4,2413900,788581.4,,,,,,,,,,,,2.66,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,4964766,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
100765,0304520000,boston edison co mass corp,67-93 kingston st,boston,02111,chauncy st,boston,02111,82353,,Energy/Power Station,,,,,,,,,,,,,,,,,,0.51,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
100763,0500082000,boston edison co,80-84 warrenton st,boston,02116,80  84 warrenton st,boston,02116,40500,,Energy/Power Station,,,,,,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103514,0401882000,harvard college,650-665-677 huntington ave,boston,02115,689  695 huntington av,boston,02115,534676,,College/University,College/University,321,,171612217.7,305579,41379746.5,,,56719501.1,73207408.1,,,,,,,,12.49,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103375,1400641010,grove hall retail center llc,456 476 blue hill av,boston,02121,456  476 blue hill av,boston,02121,67135,,Supermarket/Grocery Store,"Fast Food Restaurant, Retail Store, Supermarket/Grocery Store",163.1,,10949425.6,3206635.7,7742790.2,,,,,,,,,,,,21.19,in compliance,7 - berdo accepted,Yes,No,No,No,No,No,,,
